premise,hypothesis,label,explanation,human_explanation
A man is sitting up against a wall with a sign near his feet.,A man is sitting on a sidewalk near the church.,1,"A man sitting against a wall could be found in various locations, including near a church.","Sitting against a wall is a common occurrence, the sidewalk near a church is a specific location."
The gentlemen are on the boat deck relaxing.,Gentlemen chatting on a boat.,1,The gentlemen on the boat deck may engage in conversation while they relax.,"We have no idea if they are chatting, you can relax and do a number of things."
"A man with long hair, a mustache, and a beard is holding a guitar and sitting in front of a USA flag.",A man sits in front of a flag.,0,A man is sitting in front of a flag while holding a guitar.,Sitting in front of a flag entails it can USA or any flag
The girl eating spaghetti is wearing a red jacket.,There is a girl in red eating food.,0,"The girl in the premise is identified as wearing a red jacket while eating, which implies she is consuming food.",Spaghetti is food.
Three women in dresses and headscarves outside.,Three ladies are heading to a store.,1,"The presence of three women in dresses and headscarves suggests they could be on their way to a store, but it does not confirm their destination.",Just because the women are outside it does not mean they are heading to a store.
There is a person and a dog amongst many trees.,The person is running through the forest trying catch her loose dog that is chasing a squirrel.,1,"The presence of a person and a dog among many trees suggests a scenario where the person may be trying to manage the dog's behavior, such as chasing after something like a squirrel.","Not all groups of trees are big enough to be considered a forest, it might not be her dog, even if the person is female, and the dog could be doing anything, not just chasing anything."
A young blond-haired boy wearing a striped shirt attempting to lift a large pumpkin from the pumpkin patch.,Boy lifting a pumpkin patch pumpkin,0,"The boy is attempting to lift a pumpkin from the pumpkin patch, which directly relates to the idea of him lifting a pumpkin.",Boy is blond haired.
"A small smiling child huddled into the chest of an older man wearing orange, who is also smiling.",A kid laying on the chest of a man.,0,"The child is huddled into the man's chest, indicating a close physical position similar to laying.","The kid is huddled into the man's chest, so the kids is laying on the man's chest."
A man with dark hair and glasses baking bread.,A man is working in a bakery.,1,"A man baking bread suggests he is engaged in a culinary activity, which often takes place in a bakery.",Baking bread does not mean the man is working in a bakery.
Children walking together with a purple and gold stuffed animal.,Children rip a stuffed animal to shreds during a fight,2,"Children can engage in various activities with their stuffed animal, including playing together or potentially getting into a disagreement.",walking together and fight are not the same.
"Young man skating while a crowd looks on, in an amusement park.",An ice skater practices,0,"A young man skating in an amusement park suggests he is engaged in a skating activity, but it does not specify that he is practicing ice skating.",Young man skating implies that the skater is practicing.
"Children dance in a park in front of a large, black, inflatable object.",children are dancing with each other for fun,0,The children are likely enjoying themselves as they dance in the park.,Children dance simply means children are dancing with each other for fun
Two guys in coats laugh while walking down a street.,A couple of guys are sitting on the beach at the ocean.,2,Two guys walking down a street and laughing are not necessarily sitting on a beach at the ocean.,The men can't be walking and sitting at the same time.
A person wearing a blue uniform.,A woman in a blue police uniform is directing traffic.,1,A person in a blue uniform could be a police officer directing traffic.,Not all persons are a woman.  Not all blue uniforms are a police.
Several boys in short and tank tops or t-shirts are running.,A group of old ladies are running in shorts and tank tops.,2,"Several boys are running, while the hypothesis mentions a group of old ladies running in similar attire.",Boys are young and cannot be female.
A sponsored race car is spinning its tires on a track while being watched by spectators.,A sponsored race car is being controlled by the driver,0,The driver is responsible for controlling the race car as it spins its tires on the track.,A car cannot be spinning its tires without being controlled by the driver.
A man alone on a gravely beach.,Three friends sit together at a picnic table sharing a lunch.,2,A man alone on a gravely beach does not imply the presence of three friends sharing a lunch at a picnic table.,The man in sentence one is alone. In sentence two there are three people together. There could be a picnic table at the beach.
A man and a woman walk with a white dog on a leash.,The couple is taking their dog for a walk.,0,"The man and woman are walking their dog, which indicates they are taking it for a walk.",a man and a woman is a couple and white dog is a dog
man with dark blue apron taking an order,Man taking orders at a deli.,1,The man in the dark blue apron is likely taking orders in a setting such as a deli.,A deli is not the only place a man could take orders.
A yard laborer is cutting grass with a push lawn mower buy a busy street and a parking lot.,A guy is working on his yard.,1,A yard laborer cutting grass indicates that he is engaged in work related to maintaining a yard.,A yard laborer who is cutting grass is not always a guy and it is not always his yard.
A person wearing a white t-shirt and blue ball-cap sitting on a skateboard on a sidewalk in the mingling of shadows and sunlight.,A person in a white t shirt is sitting on a skatebaord,0,A person wearing a white t-shirt is sitting on a skateboard.,The persons referred to has white t shirt and sits on a skateboard.
A bank teller standing at a counter.,A bank teller is standing at the counter.,0,A bank teller is indeed standing at the counter.,A bank teller standing at a counter is standing at a counter.
A woman in a white shirt stands at the entrance of an ethnic goods shop.,A woman in a white shirt waits for her friend at the entrance of an ethnic goods shop.,1,"The woman is positioned at the entrance of the shop, which suggests she may be waiting for someone.",A woman at the entrance of an ethnic goods shop can have other reasons than doing so as she waits for her friend.
Fans watching a basketball game indoors at a stadium.,Fans watching  game indoors at a stadium.,0,Fans are present indoors at a stadium to watch a basketball game.,Fans watch basketball games at a stadium indoors.
A woman is posing for a picture next to an airport.,There is a model doing a photo shoot.,1,A woman posing for a picture next to an airport could be a model participating in a photo shoot.,A woman posing does not imply she is a model.
A little boy in a red shirt is swinging at a pinata.,A young boy swings at a pinata.,0,"The little boy is described as swinging at a pinata, which aligns with the action of a young boy swinging at a pinata.","Young is a synonym of little, and swings is a synonym of swinging."
Women compete in a game of roller derby.,Men are racing go karts.,2,"The premise describes a specific activity involving women, while the hypothesis introduces a different activity involving men, indicating that the two scenarios are unrelated.",Women and men are different.
A baseball player coming into home plate with knee held high and the catcher right in front of him waiting for the ball.,the baseball player is up to bat,0,"The baseball player is running towards home plate, indicating he is not currently batting.","""is up to bat"" is a rephrasing of "" into home plate with knee held high""."
People sitting and walking along the street of a city.,The people are in the ocean.,2,"People walking along the street are not in the ocean, as they are clearly on land.",You cannot be in the ocean and in the city
A bunch of kids and adults playing with different colored balls on a rock sidewalk.,Kids are playing in a park.,2,"The presence of kids playing with colored balls suggests they are likely enjoying recreational activities, which often occurs in parks.",A park is not a rock sidewalk.
Two women reading in the shade.,The women are sleeping on the grass.,2,"The women are engaged in an activity that typically requires focus and attention, making it unlikely that they would be sleeping.",The women are reading or sleeping.
Two women nurses looking at a circular purple object together in a hospital.,Two nurses look at a thing.,0,The two women nurses are indeed looking at an object together.,"Two nurses look at a thing is a shortened version of the ""two women nurses looking at a circular purple object"""
A man in a wheelchair being pushed in the library,The man's son is pushing him in a wheelchair as the man searches for a book.,1,"The man in the wheelchair is being assisted by someone, which could imply that he is being helped to find a book in the library.",Just because a man is being pushed in the library doesn't mean his son is pushing him nor does it mean he's searching for a book.
A man wades in the water and watches a waterfall.,a man wades in lava,2,"A man wading in water is not the same as wading in lava, which is a completely different and dangerous substance.",One cannot wades in water and wades in lava simultaneously.
A man catches a decent sized fish and is taking it off the hook,A man unhooking a fish.,0,"A man is in the process of removing the fish from the hook, which involves unhooking it.",unhooking is another way to say taking it off the hook.
One group of women and a group of men drinking and having a good time.,Someone is drinking too much and is drunk.,1,"The enjoyment of drinking among the groups could lead to someone consuming more alcohol than intended, resulting in drunkenness.",Drinking and having a good time does not imply that it is too much or that anyone is drunk.
"A Caucasian woman wearing two pigtails is walking down a flight of stairs while, carrying a green tube across her back.",A woman is dancing in the street.,2,A woman walking down stairs with a green tube does not imply she is dancing in the street.,The woman is not walking down stairs because she is dancing in the street.
a chef in an outdoor kitchen preparing food in a marketplace,The man is chopping vetetables outside.,1,"The chef is preparing food outdoors, which could involve chopping vegetables.","Just because the chef is preparing food, doesn't mean he's chopping vetetables."
Two girls posing for a picture on a path surrounded by trees.,Two girls are playing tennis.,2,"The premise describes two girls in a serene setting, while the hypothesis suggests they are engaged in a sport, which is not supported by the context of the premise.",Either Posing for a picture or playing tennis.
An infant plays in an inflatable pool toy.,The infant is happy,1,"The infant's engagement with the inflatable pool toy suggests a playful and enjoyable experience, which often correlates with feelings of happiness.",Not all infants playing need to be happy
Apparent crime scene with a policeman holding a dog.,There was a felony committed.,1,"The presence of a policeman at a crime scene suggests that an investigation is underway, which often implies that a crime, potentially a felony, has occurred.",Just because a crime was committed it does not mean the crime was a felony.
A young adult is hula hooping.,A young adult is playing hula hoop.,0,Hula hooping is a form of play that involves using a hula hoop.,A young adult hula hooping is playing hula hoop.
A child gets ready to swing at a pinata.,A child gets ready to swing at her parents.,2,A child preparing to swing at a pinata does not imply they are swinging at their parents.,The first girl swings at a pinata and the other at her parents. They are hitting different things.
Two confused ladies standing around after an event.,The two ladies are laying in the grass.,2,"The premise describes two ladies who are confused and standing, while the hypothesis suggests they are laying in the grass, indicating a difference in their positions.",Standing ladies are not laying down.
Woman in long blue jacket talks on cellphone in front of large window.,there is a female wearing blue jacket busy on phone standing near window,0,A woman in a long blue jacket is using her cellphone while standing in front of a large window.,A female is a woman and she is busy on the phone so she talks on cellphone
A group of people with signs and banners walking down the street,The group of people are protesting their rights.,1,A group of people carrying signs and banners often indicates that they are expressing their views on social or political issues.,Just because a group of people with signs and banners walk down a street does not imply that they are protesting their rights.  They could be with signs and banners for other reasons.
"A young boy wearing a white tunic, white pants, and a yellow belt is standing on his left leg with his right leg extended in a karate pose.",A boy getting dressed for school.,2,"The boy's karate pose suggests he is preparing for an activity, which could be interpreted as getting ready for school.",A boy dressed for school cannot be in white tunic
An artists is drawing a comical sketch of a young boy.,The artist draws a sketch of a turtle.,2,"The premise describes an artist drawing a comical sketch, while the hypothesis shifts the focus to a sketch of a turtle, which is unrelated to the young boy mentioned.",An artist cannot draw a sketch of a young boy and a turtle at the same time.
A man wearing an orange shirt and helmet is suspended in the air.,The woman waves at the plane.,2,"The premise describes a man in an orange shirt and helmet, while the hypothesis mentions a woman waving at a plane, indicating that the two scenarios involve different individuals and actions.","The man was suspended, and the woman waves.  These sentences aren't speaking about the same people."
"Two men in black outfits are carrying trays of food, with a third man in the background.",two men are hiking in the snow,2,"The premise describes two men carrying food trays, while the hypothesis suggests two men are engaged in a completely different activity of hiking in the snow.",People do not carry trays of food while hiking in the snow.
A white man wearing a ball cap and backpack is riding a bicycle while flipping the camera an obscene gesture.,The man is angry.,1,The man's obscene gesture while riding a bicycle suggests he may be expressing frustration or anger.,One can display an obscene gesture and not necessarily be angry.
Two young boys in bathing suits walk,Two boys walk.,0,"The premise describes two boys walking, which aligns with the hypothesis that states two boys are walking.",Two boys is a restatement of two young boys.
A woman with a rolling luggage waits on a sidewalk.,The woman is waiting for a taxi.,1,"The woman with rolling luggage may be waiting for a mode of transportation, such as a taxi, to continue her journey.",Just because a woman is waiting on a sidewalk does not mean that she is waiting for a taxi.
A skateboarder grinds down a long rail.,A person is riding a bike on a ramp.,2,A skateboarder performing tricks on a rail does not imply that a person is riding a bike on a ramp.,A skateboarder does not ride a bike.
One girl is taking a picture of another girl outside.,The girls is smiling for the photo.,1,The girl taking the picture may be encouraging the other girl to smile for the photo.,Taking a picture does not necessarily mean the girls is smiling for the photo.
A man is working with fire and tar to repair a roof.,A man is fixing a leaking roof.,1,"A man repairing a roof often involves fixing issues like leaks, which aligns with the act of fixing a leaking roof.",Just because a man is working to repair a roof it does not mean he is fixing a leaking roof.
A hockey goalie is about to catch a puck.,A hockey goalie hasn't been scored upon.,1,A hockey goalie catching a puck indicates they are actively preventing the opposing team from scoring.,There is no indication that the goalie hasn't been scored upon.
Two people looking across a valley.,Two people at a movie premier.,2,"Two people looking across a valley are not necessarily attending a movie premiere, as the setting and context differ significantly.",The people cannot be in a movie premier and looking across a valley at the same time.
A lady in blue holding a child looking happy.,A woman in a blue dress.,0,"A lady in blue is described as holding a child, which indicates she is a woman wearing a blue dress.","A lady is a woman, and in a blue dress is a paraphrase of in blue."
A woman sits against a wall in a fancy building.,A group of people are gathered around a bonfire.,2,A woman sitting against a wall in a fancy building does not imply that a group of people is gathered around a bonfire.,Either there is a woman or a group. There wouldn't be a bonfire near a fancy building.
Guy and girl getting ready for camping trip.,Folks prepare to camp.,0,A guy and a girl preparing for a camping trip indicates that they are getting ready to camp.,guy and girl are preparing for a camp
"A man in a gray business suit, carrying a large book and a briefcase, ascends a marble staircase.",A business man climbs a staircase quickly because he is late to a meeting.,1,"The man in the gray business suit is likely heading to a meeting, which could explain why he is climbing the staircase.",A man in a business suit is not necessarily a business man.
A dark-haired man in his twenties drinks a green liquid from a plastic mug.,The man is eating a bagel.,2,"The premise describes a man drinking a green liquid, but it does not provide any information about him eating a bagel.",One can't drink while eating; a bagel is not a green liquid.
Two cheerleaders cheering on a field.,The girls on the field.,0,The cheerleaders are the girls who are actively participating on the field.,Two cheerleaders would be described as girls.
Rider in red racing a mini red race car that rides very close to the ground.,A car is sitting outdoors.,0,"The premise describes a mini red race car, while the hypothesis mentions a car, suggesting that both involve a vehicle, but the context of the car's location is not specified in the premise.","The term ""ground"" implies that the car is being ridden outdoors."
A young male is kicking a multicolored ball.,A young man is playing with his son,1,"A young male kicking a multicolored ball could be engaging in play, which might involve a child.",Man is playing a ball with his son
A young boy wearing a mask stands holding two bags of bread.,A boy wearing a mask holds two bags of wheat bread,1,"The premise states that a young boy is holding two bags of bread, which aligns with the hypothesis that a boy is holding two bags of wheat bread, as both involve a boy and two bags of bread.",just because a boy is wearing a mask stands holding two bags of bread doesn't mean he is holding two bags of wheat bread
A smiling child sitting in a restaurant at the table.,A grumpy child throws a toy across the room.,2,A smiling child in a restaurant is unlikely to be the same as a grumpy child throwing a toy across the room.,The child is either smiling or grumpy.
Two women look at a series of purple screens,A couple is watching something.,0,The two women are engaged in an activity that suggests they are watching something on the purple screens.,watching is another way to say look at. Screens are something.
A teacher at the front of a small blackboard opening a book for a class of young children.,A man is hit head-on by a train.,2,"A teacher in a classroom setting is focused on educating young children, while a man being hit by a train is an unrelated and dangerous scenario.",A train could not hit a person who is in a class
A girl is doing a trick on a blue trampoline and is in the air.,A girl goes for a run with her dog in the park.,2,A girl performing a trick on a trampoline is not related to running with a dog in the park.,The girl can't be running with her dog in the park because she's doing a trick in the air.
An elderly woman in a blue shirt speaks with a male with her hands on her hips.,The woman in the red shirt is singing!,2,"The elderly woman is wearing a blue shirt, which does not support the claim that she is wearing a red shirt or that she is singing.",A woman in a blue shirt who speaks can't at the same time be a woman in a red shirt singing.
a young person sliding down a sandy hill.,They are sledding.,1,A young person sliding down a sandy hill may be using a sled or similar object to navigate the slope.,They could be doing something other than sledding.
A woman pulls a happy girl on her sled during winter.,Two people and a sled.,0,"The premise describes a woman pulling a girl on a sled, which implies there are at least two individuals involved with the sled.",A women and a happy girl refers to two people.
A man with a backpack and two children are on the beach.,A man and his children are having fun.,1,The presence of a man with two children on the beach suggests they are likely enjoying their time together.,They have fun at the beach.
"A football player wearing the number ""8"" looks at his teammate in the distance.",The players are tennis players,2,A football player cannot be a tennis player as they participate in different sports.,A football player does not have teammates in tennis players.
A young brunette wearing purple and black floral stretch pants is attaching her bike to a finch.,The person has red hair.,2,"A young brunette is described in the premise, which contradicts the claim of the person having red hair in the hypothesis.",A brunette does not have red hair.
"Boys and men, mostly all wearing helmets, hang on to two separate cars while they ride skateboards.","A group of guys is carousing through the streets on skateboard, grabbing onto passing cars.",1,"The boys and men are holding onto cars while skateboarding, which suggests they are engaging in a lively activity on the streets.",Just because the boys and men are hanging on to two separate cars does not imply they are grabbing onto passing cars.
A soccer team is practicing or playing the game.,A team playing a sport,0,A soccer team is engaged in an activity that involves playing a sport.,Soccer is a type of sport and the team is playing it.
two people fly kites in a field,Two people are flying kites and it starts raining.,1,"The premise describes two people flying kites, which does not provide information about the weather conditions, leaving the possibility of rain open.",The first sentence does not give any information on the weather quality besides the necessary wind to fly kites. Starts raining is something that can't be inferred because all people flying kites in all fields aren't experiencing it as it starts rain.
"Three people wearing hats, two sitting, talking, and eating, and one laying down.",Three people are talking and eating together,0,"The premise describes three people, two of whom are sitting and engaged in conversation while eating, which supports the idea that they are talking and eating together.","""Talking and eating together"" is a rephrasing of ""two sitting, talking, and eating, and one laying down""."
"A man with a sledgehammer about to strike at wood, another man seems to be trying to get away on the side.",The man with the sledgehammer is chasing the other man and the other man is afraid.,2,"The premise describes a man with a sledgehammer and another man trying to escape, but it does not indicate that the man with the sledgehammer is pursuing the other man or that the other man is afraid.",The man with a sledgehammer would not stop to strike at wood if he were chasing the other man.
A person wearing red and white climbs a foggy mountain.,A person is rock climbing.,1,"A person climbing a foggy mountain may be engaging in rock climbing, but the specific activity is not explicitly stated.",Not all mountains are rock climbing.
A baseball catcher trying to tag a base runner in a baseball game.,Employees are playing ball at the annual company baseball tournament.,1,"A baseball tournament often features players, such as employees, engaging in various baseball activities, including tagging base runners.",People playing baseball doesn't imply them being employees and a baseball game doesn't necessarily mean the annual company baseball tournament.
A small group of firefighters stand in all their firefighting attire and face masks while in front of a firetruck.,A group of police officers stand in front of their car,2,"Firefighters and police officers are both first responders, but they serve different roles and operate in different contexts.",Police officers are different than firefighters.
"Girl in club DJ both showing camera the cover of Michael Jackson's ""Thriller.""",A girl holds an autographed Thriller album.,1,"The girl in the club is showcasing the cover of ""Thriller,"" which suggests she has a connection to the album, but it does not confirm that it is autographed.","Having a cover of Michael Jackson's ""Thriller"", does not mean it is autographed."
A young adult reads a book at the laundromat as he waits for his laundry to be done.,A young adult reads a book.,0,The young adult is engaged in reading a book while at the laundromat.,young adult reads a book means the same as young adult reads a book
A little girl in pink and blue jumps over a puddle.,The little girl jumped over the puddle.,0,The little girl is described as jumping over a puddle in the premise.,girl jumps over a puddle is same as girl jumped over the puddle
A man and a woman sit together on a beach as the sun sets.,people on their honeymoon,1,A man and a woman sitting together on a beach at sunset suggests a romantic setting often associated with couples on their honeymoon.,People can sit together without being on honeymoon
"A woman, talking on her cellphone, and a man are standing outside of a Sbarro pizza restaurant, next to the subway.",A woman is talking to her boyfriend.,1,"The woman could be talking to anyone, including her boyfriend, while standing outside the restaurant.",There is no evidence the woman is talking to her boyfriend just because she is on her cellphone. She may be talking to her mother.
Workmen dressed in orange vests are holding shovels and standing on railroad tracks.,The men are playing pool.,2,The workmen on the railroad tracks are engaged in a task that is unrelated to playing pool.,One is either standing on railroad tracks or are playing pool.
A dog chewing a blue rope while two men watch from behind.,Two men are watching a dog from their car.,1,"The two men are observing the dog, but it is not specified that they are in a car.",The car may not be behind the dog.
A woman who is working try out the new yellow jacket,Nobody is working,2,A woman working suggests that at least one person is engaged in a job.,"If a woman is working, it is not true that nobody is working."
A man in sitting in front of a large Calvin Klein steel advertisement with a long instrument.,A musician is outside.,0,"The man is playing a long instrument, which suggests he is likely a musician.",A musician would be holding an instrument and in front of a Calvin Klein advertisement if he were outside.
A little girl cuddles a kitten while she looks at Christmas presents and an older woman looks on.,The girl is holding a kitten,0,"The little girl is cuddling a kitten, which means she is holding it.","When the girl holds the kitten, she also cuddles it."
A guy in a leather jacket walking by a corner store.,A man walked to the corner store wearing a leather jacket.,0,"A man in a leather jacket is walking by a corner store, which suggests he is near the store but does not confirm he is going there.",walking by a corner store can also be said as walked to the corner store
A little boy presses his face a window.,The boy pressed his face against the window.,0,"The boy is pressing his face against the window, which is the same action described in the hypothesis.",A little boy is a boy.
A surfer with a large white surfboard and tether line is standing on the beach on an overcast day.,A surfer stands on the beach with clouds overhead.,0,"The surfer is on the beach, and the overcast day indicates that there are clouds overhead.",A surfer with a large white surfboard is a surfer
An older person is reading a French newspaper on a bench.,A young boy is busy building a Lego structure.,2,An older person reading a French newspaper does not imply anything about a young boy building a Lego structure.,A young boy is not an older person.
A man with glasses and black coat pushing a cart full of bags on a travelator.,A man is walking inside a tunnel.,0,A man pushing a cart full of bags on a travelator is not necessarily walking inside a tunnel.,"Travelators are found in airport tunnels, so a man pushing a cart full of bags on a travelator is also walking inside a tunnel."
A large crowd stand watching with a large buildings in the background.,People are at a concert.,1,"A large crowd can often gather to watch a concert, especially with large buildings in the background.","We have no idea if they are at a concert, they could be a number of places."
A group of people in uniform dress are walking around outside of the Olympics.,The group of people are not standing still,0,"The group of people in uniform dress is actively walking around, indicating they are not standing still.",The group of people are not standing still they are walking around.
An Asian girl standing outside a building.,The asian girl is young.,1,"The premise describes an Asian girl, but it does not provide any information about her age.",The girl may not be young.
Two men taking pictures.,The men took pictures.,0,The act of two men taking pictures implies that they have engaged in the activity of taking pictures.,"""Men"" signifies more than one man, as is the case with two men. If the men took pictures then they were engaged in taking pictures."
A bald man is standing in a crowd.,The man knows the crowd.,1,The bald man may be familiar with the crowd if he is standing among them.,Standing in the crowd does not mean he knows the crowd.
"A man with a blue, yellow and green swimming cap is wearing goggles and swimming.",The man is a professional swimmer.,1,"The man is wearing a swimming cap and goggles, which are commonly associated with professional swimmers.",Swimming does not imply being a professional swimmer.
A young boy rides a bike down a snow covered road.,The boy is riding in the desert.,2,"A boy riding a bike down a snow-covered road is not consistent with riding in a desert, which is typically dry and lacks snow.",A desert is not a snow covered road.
Three men wearing white uniforms are painting a metal guard rail blue.,Three men are painting in the shade.,1,"The premise describes three men painting a guard rail, but it does not specify whether they are in the shade or not.",You can not infer they are in the shade.
Children are eating food at a table.,Children are eating.,0,"The premise indicates that children are engaged in the act of eating, which directly supports the hypothesis that children are eating.",The second sentence infers eating food.
An operator in a gold hard hat and orange vest sits hunched over on a large piece of John Deere equipment.,The woman takes cookies out of the oven.,2,"The operator in the gold hard hat and orange vest is focused on operating heavy machinery, which is unrelated to baking or cooking activities.",An operator can't sit on a large piece of John Deere equipment and be a woman taking cookies out of the oven.
a girl stands in the train tracks.,A girl is outside,0,A girl standing on the train tracks indicates she is outside.,Train tracks are typically outside.
Two musicians are playing music in a barn.,Three musicians are playing music in a barn.,2,"The premise states that two musicians are playing music, while the hypothesis claims that three musicians are involved, which introduces an inconsistency in the number of musicians mentioned.",There are either two or three playing in a barn.
A man in a green shirt and red sunglasses.,The man is wearing a blue shirt.,2,"The man is described as wearing a green shirt, which directly contradicts the claim that he is wearing a blue shirt.",green is not blue.
Children participate in a sport involving swine among spectators.,the kids play a swine sport for spectators.,0,Children are engaged in a sport that involves swine while being watched by spectators.,THE CHILDREN ARE KIDS.
People weaving with leaves.,Some people are making things for charity.,1,People weaving with leaves could be creating items that may be donated or sold for charitable purposes.,Making things for charity doesn't mean weaving with leaves.
"A woman with a shopping bag labeled ""sale"" stands in a crowd next to a young man with a camera.",A female employee is handing out shopping bags at a sale near a young photographer.,1,"The woman with the shopping bag labeled ""sale"" could be participating in a sale event where shopping bags are distributed, while the young man with a camera may be capturing moments from the event.",Just because a young man is holding a camera does not mean he is a photographer.
A woman sleeps under a blue and white blanket in a car.,A woman sleeping in a car.,0,"A woman is indeed sleeping in a car, as stated in the premise.",Sleeps under a blue and white blanket is a form of sleeping.
"On a patio preparing for a grill-out, the man in the welding mask stirs curiosity from the little girl.",There is a man baking cookies.,2,"The premise describes a man preparing for a grill-out, while the hypothesis mentions a man baking cookies, indicating different activities and contexts.",The man cannot be baking cookies while on a patio preparing for a grill-out
Many people gather in a large zen garden in front of some colorful houses.,The houses have no color to them.,2,"The premise states that there are colorful houses, while the hypothesis claims the houses have no color.",The houses cannot be colorful if they have no color.
A man is in the desert a few feet off the ground holding onto strings of a parachute.,A man is in a parachute,1,A man holding onto the strings of a parachute indicates that he is indeed in a parachute.,the man in the desert holding the strings of parachute does not imply he is in the parachute
People are walking around an oriental plaza.,People are shopping,1,"People in an oriental plaza may be engaged in various activities, including shopping.",not all people are shopping.
Boys in uniform wait outside a building.,The police men were outside the store.,0,Boys in uniform could be police officers waiting outside a building.,Police wear uniforms. A store is in a building.
"Two men, wearing hard hats and blue and yellow coats stand in front of a large machine and smile.",The men are practicing interpretive dance.,2,"The men are engaged in a professional setting, which is not typically associated with practicing interpretive dance.",Two people standing in front of a machine are not dancing.
A car which looks to be a hatch back is on fire with a man in a fire proof suite and helmet is laying across the hood while people are watching,A car is speeding down a street,2,"The premise describes a car on fire with a man in a fireproof suit, while the hypothesis suggests a car is speeding down a street, indicating two different scenarios.",A man is laying across the car's hood or it is speeding down a street.
A young girl looks up as she rides on a merry-go-round.,The little girl looks at others while she is on the merry-go-round.,0,The girl may be looking at others while enjoying her ride on the merry-go-round.,"A young girl is a little girl, and when she rides the merry-go-round she must be on the ride."
A brown dog with its mouth open and ears in the air running on a grassy surface.,A dog is running outside,0,A dog running on a grassy surface indicates that it is outside.,The dog is on a grassy surface so he must be outside.
"Two men pushing wheelbarrows, two men looking at them, they are in the desert near some block construction buildings.",Two men are outside working.,0,Two men pushing wheelbarrows suggests they are engaged in outdoor labor.,"Pushing wheelbarrows is working, and the desert is outside."
A woman wearing a p blouse walks up a flight of stairs.,A woman wearing a pink shirt is going up stairs.,1,"A woman wearing a p blouse is described as going up a flight of stairs, which can be interpreted as her wearing a pink shirt while ascending.","A ""p blouse"" that the woman is wearing is not necessarily a pink shirt."
three dogs play together.,Friendly dogs play together.,0,"The premise describes three dogs playing together, which suggests that they are likely friendly towards each other.",Dogs can be friendly.
A woman is painting with a stencil.,A woman creates a painting.,0,A woman using a stencil is engaged in the act of creating a painting.,Painting with a stencil is creating a painting. This is a general restatement.
Some boys playing soccer in the sand,The boys are playing football.,2,"The premise describes boys playing soccer, which is known as football in many parts of the world.",Soccer and football are two different sports.
A parent and child sitting together.,Two people are not standing.,0,A parent and child sitting together indicates that they are both in a seated position.,"A parent and child are two people, and they are sitting so that means they are not standing."
"Two men in life jackets, in a rubber raft powered by an engine, are traveling at high speed on the water with wind turbines on the distant shore.",The people here have taken some safety precautions.,0,The presence of life jackets indicates that the men are taking safety precautions while traveling on the water.,When traveling at a high speed use should use safety precautions.
A young female in a green tank top and shorts standing in the middle of the railroad tracks.,A girl is standing outside in a green shirt.,0,A young female in a green tank top is indeed standing outside.,"The female is the girl, and the green tank top is the green shirt."
Three people at with their backs to the camera at an internet bar.,Three women dancing on a bar.,1,"The premise describes three people at an internet bar, while the hypothesis suggests a scene involving three women dancing on a bar, indicating a different activity and setting.",Not every people at with their backs to the camera needed to be the women.
A religious float is surrounded by people at a street festival.,The street festival is outside.,0,"A street festival typically takes place outdoors, where people gather to celebrate and participate in various activities.",A religious float cannot be at a street festival unless the street festival is outside.
A man wearing black jeans and skater shoes climbs a jungle gym.,A man climbs a jungle gym in preparation for his audition at American Ninja Warrior.,1,A man climbing a jungle gym could be training for a physical challenge like an audition for American Ninja Warrior.,"The man could be climbing the jungle gym for any reason, there is no way to imply that he is doing it in preparation for his audition at American Ninja Warrior."
A couple in a boat fishing on a small river.,A couple in a boat on a small river.,0,A couple in a boat on a small river is implied by the premise of them fishing together.,Fishing must be on a boat.
A girl in a blue dress walks through a crowd of people.,Girl in blue dress walking through crowd,0,A girl in a blue dress is described as walking through a crowd of people.,"If the word ""crowd"" is used without a modifier, it is generally assumed to refer to a crowd of people."
A man dressed as a colonist speaks to a crowd in a cloudy town.,An old fashioned man is addressing a group,0,A man dressed as a colonist can be considered old fashioned while he addresses a crowd.,man is an old fashioned man and speaks is same as addressing
Fourteen people building a foundation next to a yellow house.,There are people building a new house next to the yellow house.,1,"The presence of fourteen people building a foundation suggests that they are engaged in construction work, which aligns with the idea of building a new house next to the yellow house.",Fourteen people building a foundation next to a yellow house does not mean that they building a new house
A beautiful long-haired blond girl dressed in a blue and green bikini walking down a street,A girl wearing a bikini is going to a pool party.,1,A girl in a bikini walking down the street could be heading to a pool party.,Sentence two may be talking about different girl
A group of people are gathered on a street covered with smoke.,A group of people are on the street.,0,A group of people gathered on a street indicates that they are present on the street.,People that are gathered on a street are on the street.
A person in a scuba suit holds a very small lobster.,A diver underwater.,1,"A person in a scuba suit is typically a diver, often found underwater.",The diver could hold a lobster in a boat not underwater.
"Cheerleaders, wearing blue shirts and black shorts, dancing in a gym.",Cheerleaders are eating small children,2,"Cheerleaders are typically associated with athletic activities and performances, not with harmful actions towards children.",Cheerleaders cannot dance while eating at once.
A person in a wheelchair is on a sidewalk.,A woman is pushing an elderly person in a hospital bed.,2,"A person in a wheelchair is on a sidewalk, which does not imply anything about a woman pushing an elderly person in a hospital bed.",sidewalk and hospital are not the same
